"Account Name","Processed Date","Description","Check Number","Credit or Debit","Amount"
"COURTCHK        0001",2026-05-18,"DDA REGULAR DEPOSIT",,"Credit",2100.00
"COURTCHK        0001",2026-04-27,"INST XFER  PAYPAL WEB",,"Debit",41.00
"COURTCHK        0001",2026-04-17,"DDA REGULAR DEPOSIT",,"Credit",2029.13
"COURTCHK        0001",2026-03-27,"CHARGEBACK 16182028",16182028,"Debit",500.00
"COURTCHK        0001",2026-03-24,"DDA REGULAR DEPOSIT",,"Credit",500.00
"COURTCHK        0001",2026-03-20,"DDA REGULAR DEPOSIT",,"Credit",15050.00
"COURTCHK        0001",2026-03-02,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",2214.08
"COURTCHK        0001",2026-01-28,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",1804.81
"COURTCHK        0001",2025-12-29,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",1766.51
"COURTCHK        0001",2025-12-18,"DDA REGULAR DEPOSIT",,"Credit",93.22
"COURTCHK        0001",2025-12-18,"DDA REGULAR DEPOSIT",,"Credit",110000.00
"COURTCHK        0001",2025-11-28,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",1712.25
"COURTCHK        0001",2025-10-28,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",1010.92
"COURTCHK        0001",2025-09-29,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",904.09
"COURTCHK        0001",2025-09-25,"BONTERRATE BONTERRATECH.COM CCD 4270465600 ST-D9Q8K4Z8D8D7",,"Credit",242.00
"COURTCHK        0001",2025-09-24,"BONTERRATE BONTERRATECH.COM CCD 1800948598 ST-F0M2T0P5E3H6",,"Credit",100.00
"COURTCHK        0001",2025-09-23,"BONTERRATE BONTERRATECH.COM CCD 4270465600 ST-W4U5B3S1M6K9",,"Credit",20.00
"COURTCHK        0001",2025-08-28,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",783.38
"COURTCHK        0001",2025-08-12,"TRANSFER   PAYPAL PPD PAYPALSD11",,"Credit",4747.16
"COURTCHK        0001",2025-07-28,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",634.81
"COURTCHK        0001",2025-07-11,"DDA REGULAR DEPOSIT",,"Credit",30000.00
"COURTCHK        0001",2025-06-30,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",604.00
"COURTCHK        0001",2025-05-28,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",331.29
"COURTCHK        0001",2025-05-20,"DDA REGULAR DEPOSIT",,"Credit",2075.00
"COURTCHK        0001",2025-04-28,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",189.79
"COURTCHK        0001",2025-03-28,"DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D",,"Debit",206.77
"COURTCHK        0001",2025-02-19,"DDA REGULAR DEPOSIT",,"Credit",1000.00
"COURTCHK        0001",2024-11-13,"DDA REGULAR DEPOSIT",,"Credit",25000.00
"COURTCHK        0001",2024-11-08,"POSTAGE FEE - NON E-STATEMENTS",,"Debit",0.58
"COURTCHK        0001",2024-11-08,"TOTAL SERVICE CHARGES",,"Debit",0.58
"COURTCHK        0001",2024-09-19,"DDA REGULAR DEPOSIT",,"Credit",200.00
