date,source,description,category,amount,gross,month
2024-09-19,TCB,DDA REGULAR DEPOSIT,grant_income,200.0,200.0,2024-09
2024-10-10,PayPal,Donation Payment,recurring_income,4.41,5.0,2024-10
2024-10-10,PayPal,Donation Payment,recurring_income,9.31,10.0,2024-10
2024-11-06,PayPal,Donation Payment,recurring_income,979.61,1000.0,2024-11
2024-11-08,TCB,TOTAL SERVICE CHARGES,bank_fee,-0.58,-0.58,2024-11
2024-11-08,TCB,POSTAGE FEE - NON E-STATEMENTS,bank_fee,-0.58,-0.58,2024-11
2024-11-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2024-11
2024-11-13,TCB,DDA REGULAR DEPOSIT,grant_income,25000.0,25000.0,2024-11
2024-11-20,PayPal,Donation Payment,recurring_income,19.11,20.0,2024-11
2024-12-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2024-12
2025-01-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2025-01
2025-02-11,PayPal,Donation Payment,recurring_income,979.61,1000.0,2025-02
2025-02-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2025-02
2025-02-19,TCB,DDA REGULAR DEPOSIT,grant_income,1000.0,1000.0,2025-02
2025-03-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2025-03
2025-03-20,PayPal,Donation Payment,recurring_income,254.34,260.0,2025-03
2025-03-25,PayPal,Subscription Payment,recurring_income,52.0,53.56,2025-03
2025-03-28,TCB,DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D,program_expense,-206.77,-206.77,2025-03
2025-04-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2025-04
2025-04-25,PayPal,Subscription Payment,recurring_income,52.0,53.56,2025-04
2025-04-28,TCB,DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D,program_expense,-189.79,-189.79,2025-04
2025-05-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2025-05
2025-05-15,PayPal,Donation Payment,recurring_income,40.0,41.31,2025-05
2025-05-20,TCB,DDA REGULAR DEPOSIT,grant_income,2075.0,2075.0,2025-05
2025-05-25,PayPal,Subscription Payment,recurring_income,52.0,53.56,2025-05
2025-05-28,TCB,DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D,program_expense,-331.29,-331.29,2025-05
2025-06-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2025-06
2025-06-25,PayPal,Subscription Payment,recurring_income,52.0,53.56,2025-06
2025-06-30,TCB,DOLLYWOOD  DOLLYWOOD FOUND CCD 621348105D,program_expense,-604.0,-604.0,2025-06
2025-07-11,TCB,DDA REGULAR DEPOSIT,grant_income,30000.0,30000.0,2025-07
2025-07-12,PayPal,Subscription Payment,recurring_income,244.53,250.0,2025-07
2025-07-25,PayPal,Subscription Payment,recurring_income,52.0,53.56,2025-07
