source,month,invoice,G1EN_Q,G2EN_Q,G3EN_Q,G4EN_Q,G5EN_Q,G6EN_Q,G1ES_Q,G2ES_Q,G3ES_Q,G4ES_Q,G5ES_Q,G6ES_Q,G1EN_A,G2EN_A,G3EN_A,G4EN_A,G5EN_A,G6EN_A,G1ES_A,G2ES_A,G3ES_A,G4ES_A,G5ES_A,G6ES_A,LETC_EN_Q,LETC_ES_Q,GRAD_EN_Q,GRAD_ES_Q,MAIL_EN_Q,MAIL_ES_Q,LETC_EN_A,LETC_ES_A,GRAD_EN_A,GRAD_ES_A,MAIL_EN_A,MAIL_ES_A,INVOICE_TOTAL
invoice_26052804_04253737.pdf,2025-04,04253737,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,73,0,133.2,0.0,0.0,0.0,72.27,0.0,206.77
invoice_26052804_05253737.pdf,2025-05,05253737,2,16,15,15,11,13,0,0,0,0,0,0,2.5,22.4,18.75,18.75,13.75,16.9,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1,0,81,0,14.8,0.0,1.75,0.0,80.19,0.0,189.79
invoice_26052804_06253737.pdf,2025-06,06253737,4,20,18,18,13,10,0,0,0,0,0,0,4.8,29.0,25.2,23.4,18.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,45,0,3,0,131,0,83.25,0.0,5.25,0.0,129.69,0.0,331.29
invoice_26052804_07253737.pdf,2025-07,07253737,5,34,27,25,32,23,0,0,0,0,0,0,7.25,40.12,32.4,31.25,43.2,32.2,0.0,0.0,0.0,0.0,0.0,0.0,94,0,4,0,244,0,173.9,0.0,7.0,0.0,236.68,0.0,604.0
invoice_26052804_08253737.pdf,2025-08,08253737,12,37,33,35,75,49,0,0,0,0,0,0,18.0,42.55,46.2,45.5,97.5,61.25,0.0,0.0,0.0,0.0,0.0,0.0,30,0,2,0,273,0,55.5,0.0,3.5,0.0,264.81,0.0,634.81
invoice_26052804_09253737.pdf,2025-09,09253737,20,44,35,43,79,38,0,0,0,0,0,0,29.0,52.8,49.0,53.75,110.6,55.1,0.0,0.0,0.0,0.0,0.0,0.0,51,0,14,0,324,0,94.35,0.0,24.5,0.0,314.28,0.0,783.38
invoice_26052804_10253737.pdf,2025-10,10253737,27,59,43,47,94,25,0,0,0,0,0,0,33.75,67.85,53.75,68.15,131.6,31.25,0.0,0.0,0.0,0.0,0.0,0.0,69,0,15,0,379,0,127.65,0.0,26.25,0.0,363.84,0.0,904.09
invoice_26052804_11253737.pdf,2025-11,11253737,44,70,60,62,104,11,0,0,0,0,0,0,59.4,126.0,87.0,86.8,145.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,42,0,14,0,407,0,77.7,0.0,24.5,0.0,390.72,0.0,1010.92
invoice_26052804_2025-16845.pdf,2025-11,2025-16845,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.06
invoice_26052804_12253737.pdf,2025-12,12253737,53,84,68,66,114,0,0,0,0,0,0,0,68.9,113.4,95.2,82.5,125.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,0,13,0,693,0,545.75,0.0,22.75,0.0,658.35,0.0,1712.25
invoice_26052804_01263737.pdf,2026-01,01263737,0,91,144,135,127,156,0,0,0,0,0,0,0.0,118.3,208.8,155.25,165.1,218.4,0.0,0.0,0.0,0.0,0.0,0.0,82,0,16,0,751,0,151.7,0.0,28.0,0.0,720.96,0.0,1766.51
invoice_26052804_02263737.pdf,2026-02,02263737,0,128,161,145,135,151,0,0,0,0,0,0,0.0,249.6,225.4,166.75,175.5,196.3,0.0,0.0,0.0,0.0,0.0,0.0,25,0,11,0,756,0,46.25,0.0,19.25,0.0,725.76,0.0,1804.81
invoice_26052804_03263737.pdf,2026-03,03263737,0,139,166,146,141,136,0,0,0,0,0,0,0.0,166.8,190.9,182.5,197.4,176.8,0.0,0.0,0.0,0.0,0.0,0.0,196,0,15,0,939,0,362.6,0.0,26.25,0.0,910.83,0.0,2214.08
invoice_26052804_04263737.pdf,2026-04,04263737,6,200,205,180,180,134,0,0,0,0,0,0,11.1,230.0,276.75,252.0,216.0,167.5,0.0,0.0,0.0,0.0,0.0,0.0,75,0,22,0,1002,0,138.75,0.0,38.5,0.0,981.96,0.0,2312.56
invoice_26052912_05263737.pdf,2026-05,05263737,14,213,224,195,189,122,0,0,0,0,0,0,20.3,255.6,291.2,243.75,245.7,152.5,0.0,0.0,0.0,0.0,0.0,0.0,61,0,21,0,1039,0,112.85,0.0,36.75,0.0,1028.61,0.0,2387.26
invoice_26052912_06263737.pdf,2026-06,06263737,22,233,241,200,194,110,0,0,0,0,0,0,27.5,337.85,289.2,280.0,271.6,159.5,0.0,0.0,0.0,0.0,0.0,0.0,83,0,16,0,1099,0,153.55,0.0,28.0,0.0,1088.01,0.0,2635.21
